Sample in Buffer,Sample in Window,TRIGGER,TEC1[15:0],Target_Temp[15:0],change_target_temp[3:0],u_pid_contorl/Target_Temp1[15:0],u_pid_contorl/AD_output[15:0],u_ila_0_error[15:0]
258,258,0,8000,0000,0,1900,8000,fe02
259,259,0,8000,0000,0,1900,8000,fe02
260,260,0,8000,0000,0,1900,8000,fe02
261,261,0,8000,0000,0,1900,8000,fe02
262,262,0,8000,0000,0,1900,8000,fe02
263,263,0,8000,0000,0,1900,8000,fe02
264,264,0,8000,0000,0,1900,8000,fe02
265,265,0,8000,0000,0,1900,8000,fe02
266,266,0,8000,0000,0,1900,8000,fe02
267,267,0,8000,0000,0,1900,8000,fe02
268,268,0,8000,0000,0,1900,8000,fe02
269,269,0,8000,0000,0,1900,8000,fe02
270,270,0,8000,0000,0,1900,8000,fe02
271,271,0,8000,0000,0,1900,8000,fe02
272,272,0,8000,0000,0,1900,8000,fe02
273,273,0,8000,0000,0,1900,8000,fe02
274,274,0,8000,0000,0,1900,8000,fe02
275,275,0,8000,0000,0,1900,8000,fe02
276,276,0,8000,0000,0,1900,8000,fe02
277,277,0,8000,0000,0,1900,8000,fe02
278,278,0,8000,0000,0,1900,8000,fe02
279,279,0,8000,0000,0,1900,8000,fe02
280,280,0,8000,0000,0,1900,8000,fe02
281,281,0,8000,0000,0,1900,8000,fe02
282,282,0,8000,0000,0,1900,8000,fe02
283,283,0,8000,0000,0,1900,8000,fe02
284,284,0,8000,0000,0,1900,8000,fe02
285,285,0,8000,0000,0,1900,8000,fe02
286,286,0,8000,0000,0,1900,8000,fe02
287,287,0,8000,0000,0,1900,8000,fe02
288,288,0,8000,0000,0,1900,8000,fe02
289,289,0,8000,0000,0,1900,8000,fe02
290,290,0,8000,0000,0,1900,8000,fe02
291,291,0,8000,0000,0,1900,8000,fe02
292,292,0,8000,0000,0,1900,8000,fe02
293,293,0,8000,0000,0,1900,8000,fe02
294,294,0,8000,0000,0,1900,8000,fe02
295,295,0,8000,0000,0,1900,8000,fe02
296,296,0,8000,0000,0,1900,8000,fe02
297,297,0,8000,0000,0,1900,8000,fe02
298,298,0,8000,0000,0,1900,8000,fe02
299,299,0,8000,0000,0,1900,8000,fe02
300,300,0,8000,0000,0,1900,8000,fe02
301,301,0,8000,0000,0,1900,8000,fe02
302,302,0,8000,0000,0,1900,8000,fe02
303,303,0,8000,0000,0,1900,8000,fe02
304,304,0,8000,0000,0,1900,8000,fe02
305,305,0,8000,0000,0,1900,8000,fe02
306,306,0,8000,0000,0,1900,8000,fe02
307,307,0,8000,0000,0,1900,8000,fe02
308,308,0,8000,0000,0,1900,8000,fe02
309,309,0,8000,0000,0,1900,8000,fe02
310,310,0,8000,0000,0,1900,8000,fe02
311,311,0,8000,0000,0,1900,8000,fe02
312,312,0,8000,0000,0,1900,8000,fe02
313,313,0,8000,0000,0,1900,8000,fe02
314,314,0,8000,0000,0,1900,8000,fe02
315,315,0,8000,0000,0,1900,8000,fe02
316,316,0,8000,0000,0,1900,8000,fe02
317,317,0,8000,0000,0,1900,8000,fe02
318,318,0,8000,0000,0,1900,8000,fe02
319,319,0,8000,0000,0,1900,8000,fe02
320,320,0,8000,0000,0,1900,8000,fe02
321,321,0,8000,0000,0,1900,8000,fe02
322,322,0,8000,0000,0,1900,8000,fe02
323,323,0,8000,0000,0,1900,8000,fe02
324,324,0,8000,0000,0,1900,8000,fe02
325,325,0,8000,0000,0,1900,8000,fe02
326,326,0,8000,0000,0,1900,8000,fe02
327,327,0,8000,0000,0,1900,8000,fe02
328,328,0,8000,0000,0,1900,8000,fe02
329,329,0,8000,0000,0,1900,8000,fe02
330,330,0,8000,0000,0,1900,8000,fe02
331,331,0,8000,0000,0,1900,8000,fe02
332,332,0,8000,0000,0,1900,8000,fe02
333,333,0,8000,0000,0,1900,8000,fe02
334,334,0,8000,0000,0,1900,8000,fe02
335,335,0,8000,0000,0,1900,8000,fe02
336,336,0,8000,0000,0,1900,8000,fe02
337,337,0,8000,0000,0,1900,8000,fe02
338,338,0,8000,0000,0,1900,8000,fe02
339,339,0,8000,0000,0,1900,8000,fe02
340,340,0,8000,0000,0,1900,8000,fe02
341,341,0,8000,0000,0,1900,8000,fe02
342,342,0,8000,0000,0,1900,8000,fe02
343,343,0,8000,0000,0,1900,8000,fe02
344,344,0,8000,0000,0,1900,8000,fe02
345,345,0,8000,0000,0,1900,8000,fe02
346,346,0,8000,0000,0,1900,8000,fe02
347,347,0,8000,0000,0,1900,8000,fe02
348,348,0,8000,0000,0,1900,8000,fe02
349,349,0,8000,0000,0,1900,8000,fe02
350,350,0,8000,0000,0,1900,8000,fe02
351,351,0,8000,0000,0,1900,8000,fe02
352,352,0,8000,0000,0,1900,8000,fe02
353,353,0,8000,0000,0,1900,8000,fe02
354,354,0,8000,0000,0,1900,8000,fe02
355,355,0,8000,0000,0,1900,8000,fe02
356,356,0,8000,0000,0,1900,8000,fe02
357,357,0,8000,0000,0,1900,8000,fe02
358,358,0,8000,0000,0,1900,8000,fe02
359,359,0,8000,0000,0,1900,8000,fe02
360,360,0,8000,0000,0,1900,8000,fe02
361,361,0,8000,0000,0,1900,8000,fe02
362,362,0,8000,0000,0,1900,8000,fe02
363,363,0,8000,0000,0,1900,8000,fe02
364,364,0,8000,0000,0,1900,8000,fe02
365,365,0,8000,0000,0,1900,8000,fe02
366,366,0,8000,0000,0,1900,8000,fe02
367,367,0,8000,0000,0,1900,8000,fe02
368,368,0,8000,0000,0,1900,8000,fe02
369,369,0,8000,0000,0,1900,8000,fe02
370,370,0,8000,0000,0,1900,8000,fe02
371,371,0,8000,0000,0,1900,8000,fe02
372,372,0,8000,0000,0,1900,8000,fe02
373,373,0,8000,0000,0,1900,8000,fe02
374,374,0,8000,0000,0,1900,8000,fe02
375,375,0,8000,0000,0,1900,8000,fe02
376,376,0,8000,0000,0,1900,8000,fe02
377,377,0,8000,0000,0,1900,8000,fe02
378,378,0,8000,0000,0,1900,8000,fe02
379,379,0,8000,0000,0,1900,8000,fe02
380,380,0,8000,0000,0,1900,8000,fe02
381,381,0,8000,0000,0,1900,8000,fe02
382,382,0,8000,0000,0,1900,8000,fe02
383,383,0,8000,0000,0,1900,8000,fe02
384,384,0,8000,0000,0,1900,8000,fe02
385,385,0,8000,0000,0,1900,8000,fe02
386,386,0,8000,0000,0,1900,8000,fe02
387,387,0,8000,0000,0,1900,8000,fe02
388,388,0,8000,0000,0,1900,8000,fe02
389,389,0,8000,0000,0,1900,8000,fe02
390,390,0,8000,0000,0,1900,8000,fe02
391,391,0,8000,0000,0,1900,8000,fe02
392,392,0,8000,0000,0,1900,8000,fe02
393,393,0,8000,0000,0,1900,8000,fe02
394,394,0,8000,0000,0,1900,8000,fe02
395,395,0,8000,0000,0,1900,8000,fe02
396,396,0,8000,0000,0,1900,8000,fe02
397,397,0,8000,0000,0,1900,8000,fe02
398,398,0,8000,0000,0,1900,8000,fe02
399,399,0,8000,0000,0,1900,8000,fe02
400,400,0,8000,0000,0,1900,8000,fe02
401,401,0,8000,0000,0,1900,8000,fe02
402,402,0,8000,0000,0,1900,8000,fe02
403,403,0,8000,0000,0,1900,8000,fe02
404,404,0,8000,0000,0,1900,8000,fe02
405,405,0,8000,0000,0,1900,8000,fe02
406,406,0,8000,0000,0,1900,8000,fe02
407,407,0,8000,0000,0,1900,8000,fe02
408,408,0,8000,0000,0,1900,8000,fe02
409,409,0,8000,0000,0,1900,8000,fe02
410,410,0,8000,0000,0,1900,8000,fe02
411,411,0,8000,0000,0,1900,8000,fe02
412,412,0,8000,0000,0,1900,8000,fe02
413,413,0,8000,0000,0,1900,8000,fe02
414,414,0,8000,0000,0,1900,8000,fe02
415,415,0,8000,0000,0,1900,8000,fe02
416,416,0,8000,0000,0,1900,8000,fe02
417,417,0,8000,0000,0,1900,8000,fe02
418,418,0,8000,0000,0,1900,8000,fe02
419,419,0,8000,0000,0,1900,8000,fe02
420,420,0,8000,0000,0,1900,8000,fe02
421,421,0,8000,0000,0,1900,8000,fe02
422,422,0,8000,0000,0,1900,8000,fe02
423,423,0,8000,0000,0,1900,8000,fe02
424,424,0,8000,0000,0,1900,8000,fe02
425,425,0,8000,0000,0,1900,8000,fe02
426,426,0,8000,0000,0,1900,8000,fe02
427,427,0,8000,0000,0,1900,8000,fe02
428,428,0,8000,0000,0,1900,8000,fe02
429,429,0,8000,0000,0,1900,8000,fe02
430,430,0,8000,0000,0,1900,8000,fe02
431,431,0,8000,0000,0,1900,8000,fe02
432,432,0,8000,0000,0,1900,8000,fe02
433,433,0,8000,0000,0,1900,8000,fe02
434,434,0,8000,0000,0,1900,8000,fe02
435,435,0,8000,0000,0,1900,8000,fe02
436,436,0,8000,0000,0,1900,8000,fe02
437,437,0,8000,0000,0,1900,8000,fe02
438,438,0,8000,0000,0,1900,8000,fe02
439,439,0,8000,0000,0,1900,8000,fe02
440,440,0,8000,0000,0,1900,8000,fe02
441,441,0,8000,0000,0,1900,8000,fe02
442,442,0,8000,0000,0,1900,8000,fe02
443,443,0,8000,0000,0,1900,8000,fe02
444,444,0,8000,0000,0,1900,8000,fe02
445,445,0,8000,0000,0,1900,8000,fe02
446,446,0,8000,0000,0,1900,8000,fe02
447,447,0,8000,0000,0,1900,8000,fe02
448,448,0,8000,0000,0,1900,8000,fe02
449,449,0,8000,0000,0,1900,8000,fe02
450,450,0,8000,0000,0,1900,8000,fe02
451,451,0,8000,0000,0,1900,8000,fe02
452,452,0,8000,0000,0,1900,8000,fe02
453,453,0,8000,0000,0,1900,8000,fe02
454,454,0,8000,0000,0,1900,8000,fe02
455,455,0,8000,0000,0,1900,8000,fe02
456,456,0,8000,0000,0,1900,8000,fe02
457,457,0,8000,0000,0,1900,8000,fe02
458,458,0,8000,0000,0,1900,8000,fe02
459,459,0,8000,0000,0,1900,8000,fe02
460,460,0,8000,0000,0,1900,8000,fe02
461,461,0,8000,0000,0,1900,8000,fe02
462,462,0,8000,0000,0,1900,8000,fe02
463,463,0,8000,0000,0,1900,8000,fe02
464,464,0,8000,0000,0,1900,8000,fe02
465,465,0,8000,0000,0,1900,8000,fe02
466,466,0,8000,0000,0,1900,8000,fe02
467,467,0,8000,0000,0,1900,8000,fe02
468,468,0,8000,0000,0,1900,8000,fe02
469,469,0,8000,0000,0,1900,8000,fe02
470,470,0,8000,0000,0,1900,8000,fe02
471,471,0,8000,0000,0,1900,8000,fe02
472,472,0,8000,0000,0,1900,8000,fe02
473,473,0,8000,0000,0,1900,8000,fe02
474,474,0,8000,0000,0,1900,8000,fe02
475,475,0,8000,0000,0,1900,8000,fe02
476,476,0,8000,0000,0,1900,8000,fe02
477,477,0,8000,0000,0,1900,8000,fe02
478,478,0,8000,0000,0,1900,8000,fe02
479,479,0,8000,0000,0,1900,8000,fe02
480,480,0,8000,0000,0,1900,8000,fe02
481,481,0,8000,0000,0,1900,8000,fe02
482,482,0,8000,0000,0,1900,8000,fe02
483,483,0,8000,0000,0,1900,8000,fe02
484,484,0,8000,0000,0,1900,8000,fe02
485,485,0,8000,0000,0,1900,8000,fe02
486,486,0,8000,0000,0,1900,8000,fe02
487,487,0,8000,0000,0,1900,8000,fe02
488,488,0,8000,0000,0,1900,8000,fe02
489,489,0,8000,0000,0,1900,8000,fe02
490,490,0,8000,0000,0,1900,8000,fe02
491,491,0,8000,0000,0,1900,8000,fe02
492,492,0,8000,0000,0,1900,8000,fe02
493,493,0,8000,0000,0,1900,8000,fe02
494,494,0,8000,0000,0,1900,8000,fe02
495,495,0,8000,0000,0,1900,8000,fe02
496,496,0,8000,0000,0,1900,8000,fe02
497,497,0,8000,0000,0,1900,8000,fe02
498,498,0,8000,0000,0,1900,8000,fe02
499,499,0,8000,0000,0,1900,8000,fe02
500,500,0,8000,0000,0,1900,8000,fe02
501,501,0,8000,0000,0,1900,8000,fe02
502,502,0,8000,0000,0,1900,8000,fe02
503,503,0,8000,0000,0,1900,8000,fe02
504,504,0,8000,0000,0,1900,8000,fe02
505,505,0,8000,0000,0,1900,8000,fe02
506,506,0,8000,0000,0,1900,8000,fe02
507,507,0,8000,0000,0,1900,8000,fe02
508,508,0,8000,0000,0,1900,8000,fe02
509,509,0,8000,0000,0,1900,8000,fe02
510,510,0,8000,0000,0,1900,8000,fe02
511,511,0,8000,0000,0,1900,8000,fe02
512,512,1,8000,0000,0,1900,8000,fe02
513,513,0,8000,0000,0,1900,8000,fe02
514,514,0,8000,0000,0,1900,8000,fe02
515,515,0,8000,0000,0,1900,8000,fe02
516,516,0,8000,0000,0,1900,8000,fe02
517,517,0,8000,0000,0,1900,8000,fe02
518,518,0,8000,0000,0,1900,8000,fe02
519,519,0,8000,0000,0,1900,8000,fe02
520,520,0,8000,0000,0,1900,8000,fe02
521,521,0,8000,0000,0,1900,8000,fe02
522,522,0,8000,0000,0,1900,8000,fe02
523,523,0,8000,0000,0,1900,8000,fe02
524,524,0,8000,0000,0,1900,8000,fe02
525,525,0,8000,0000,0,1900,8000,fe02
526,526,0,8000,0000,0,1900,8000,fe02
527,527,0,8000,0000,0,1900,8000,fe02
528,528,0,8000,0000,0,1900,8000,fe02
529,529,0,8000,0000,0,1900,8000,fe02
530,530,0,8000,0000,0,1900,8000,fe02
531,531,0,8000,0000,0,1900,8000,fe02
532,532,0,8000,0000,0,1900,8000,fe02
533,533,0,8000,0000,0,1900,8000,fe02
534,534,0,8000,0000,0,1900,8000,fe02
535,535,0,8000,0000,0,1900,8000,fe02
536,536,0,8000,0000,0,1900,8000,fe02
537,537,0,8000,0000,0,1900,8000,fe02
538,538,0,8000,0000,0,1900,8000,fe02
539,539,0,8000,0000,0,1900,8000,fe02
540,540,0,8000,0000,0,1900,8000,fe02
541,541,0,8000,0000,0,1900,8000,fe02
542,542,0,8000,0000,0,1900,8000,fe02
543,543,0,8000,0000,0,1900,8000,fe02
544,544,0,8000,0000,0,1900,8000,fe02
545,545,0,8000,0000,0,1900,8000,fe02
546,546,0,8000,0000,0,1900,8000,fe02
547,547,0,8000,0000,0,1900,8000,fe02
548,548,0,8000,0000,0,1900,8000,fe02
549,549,0,8000,0000,0,1900,8000,fe02
